"Date","Open","High","Low","Close","Shares.Traded","Turnover..Rs..Cr."
"12-Jun-2015",7959.85,7995.6,7940.3,7982.9,140839875,6737.25
"15-Jun-2015",7986.6,8057.7,7944.85,8013.9,137116389,6129.12
"16-Jun-2015",8004.2,8061.85,7952.35,8047.3,127809460,5923.8
"17-Jun-2015",8084.2,8136.85,8048.95,8091.55,157205716,7878.66
"18-Jun-2015",8113.7,8186.9,8101.8,8174.6,149266110,7767.77
"19-Jun-2015",8201.15,8250.8,8195.65,8224.95,151575997,7722.05
"22-Jun-2015",8259.3,8369.45,8257.4,8353.1,126542473,6163.02
"23-Jun-2015",8377.45,8398.45,8334.95,8381.55,135844708,6437.33
"24-Jun-2015",8399.4,8421.35,8338.9,8360.85,134062733,7175.22
"25-Jun-2015",8336.25,8423.15,8329.5,8398,207421340,9911.16
"26-Jun-2015",8393.95,8408.55,8339.7,8381.1,113959476,5848.78
"29-Jun-2015",8247.05,8329.45,8195.65,8318.4,136106699,6604.12
"30-Jun-2015",8316.35,8378,8298.95,8368.5,163366250,8425.52
"01-Jul-2015",8376.25,8481.6,8370.15,8453.05,135887471,6938.05
"02-Jul-2015",8471.95,8479.25,8433.2,8444.9,115472141,6065.26
"03-Jul-2015",8440.1,8497.75,8424.15,8484.9,91142979,4983.21
"06-Jul-2015",8386.15,8533.15,8386.15,8522.15,104578132,5517.86
"07-Jul-2015",8525.5,8561.35,8483.85,8510.8,126038231,6054.41
"08-Jul-2015",8439.2,8457.5,8341.4,8363.05,193886999,8876.81
"09-Jul-2015",8364.85,8400.3,8323,8328.55,135358659,6610.4
"10-Jul-2015",8365.7,8377.1,8315.4,8360.55,158883926,8128.47
"13-Jul-2015",8397.25,8471.65,8355.4,8459.65,121380175,6506.28
"14-Jul-2015",8470.6,8480.25,8424.1,8454.1,104893796,5454.41
"15-Jul-2015",8463.4,8531.4,8462.95,8523.8,108835522,5805.53
"16-Jul-2015",8546.15,8616.1,8542.9,8608.05,119637042,6544.15
"17-Jul-2015",8623.65,8642.95,8593.15,8609.85,108190401,5713.13
"20-Jul-2015",8623.9,8624.1,8559,8603.45,93439295,5107.62
"21-Jul-2015",8601.5,8646.75,8517.9,8529.45,169151098,10699.52
"22-Jul-2015",8512.25,8643.9,8498.65,8633.5,141018383,7427.34
"23-Jul-2015",8643.95,8654.75,8573.8,8589.8,136962516,7747.81
"24-Jul-2015",8588.15,8589.15,8513.5,8521.55,131344832,6942.22
"27-Jul-2015",8492.1,8492.2,8351.55,8361,140828066,7353.09
"28-Jul-2015",8371.1,8397.4,8321.75,8337,179983810,8403.15
"29-Jul-2015",8365.6,8381.5,8338.45,8375.05,145399010,7232.34
"30-Jul-2015",8417,8458.9,8408.3,8421.8,221939186,10007.3
"31-Jul-2015",8456.1,8548.95,8448,8532.85,209629301,9522.19
"03-Aug-2015",8510.65,8563.95,8508.1,8543.05,161485758,7738.1
"04-Aug-2015",8564.1,8565.15,8448.25,8516.9,193226091,9003.82
"05-Aug-2015",8547.45,8591.85,8545.85,8567.95,136948290,6434.82
"06-Aug-2015",8585.8,8606.3,8551.5,8588.65,139116393,6595.25
"07-Aug-2015",8580.8,8595.95,8552.7,8564.6,148073594,6528.28
"10-Aug-2015",8577,8621.55,8497.8,8525.6,127194886,5780.49
"11-Aug-2015",8548.45,8556.25,8441.3,8462.35,159192694,7049.29
"12-Aug-2015",8445.7,8446.95,8337.95,8349.45,195904304,8630.35
"13-Aug-2015",8384.45,8429.5,8339.75,8355.85,195079107,7840.58
"14-Aug-2015",8402.35,8530.1,8381.2,8518.55,160680260,7090.58
"17-Aug-2015",8530.5,8530.6,8428.05,8477.3,180083830,6543.01
"18-Aug-2015",8505.85,8525.75,8433.6,8466.55,157991554,6501.24
